 time            v(vin)          v(vout)         v(xenv.rect)   
 1.27427858e-03  9.49419364e-01  1.03789268e+00  9.49546472e-01 
 1.28427858e-03  9.48844777e-01  1.03789259e+00  9.48978527e-01 
 1.29427858e-03  9.48077421e-01  1.03789247e+00  9.48218054e-01 
 1.30427858e-03  9.47120326e-01  1.03789234e+00  9.47268161e-01 
 1.31427858e-03  9.45977269e-01  1.03789218e+00  9.46132713e-01 
 1.32427858e-03  9.44652761e-01  1.03789201e+00  9.44816326e-01 
 1.33427858e-03  9.43152028e-01  1.03789183e+00  9.43324348e-01 
 1.34427858e-03  9.41480994e-01  1.03789163e+00  9.41662848e-01 
 1.35427858e-03  9.39646254e-01  1.03789141e+00  9.39838600e-01 
 1.36427858e-03  9.37655047e-01  1.03789117e+00  9.37859072e-01 
 1.37427858e-03  9.35515234e-01  1.03789093e+00  9.35732412e-01 
 1.38427858e-03  9.33235258e-01  1.03789067e+00  9.33467448e-01 
 1.39427858e-03  9.30824118e-01  1.03789039e+00  9.31073697e-01 
 1.40427858e-03  9.28291329e-01  1.03789011e+00  9.28561396e-01 
 1.41427858e-03  9.25646887e-01  1.03788982e+00  9.25941586e-01 
 1.42427858e-03  9.22901229e-01  1.03788951e+00  9.23226273e-01 
 1.43427858e-03  9.20065190e-01  1.03788920e+00  9.20428769e-01 
 1.44427858e-03  9.17149962e-01  1.03788889e+00  9.17564406e-01 
 1.45427858e-03  9.14167052e-01  1.03788857e+00  9.14652117e-01 
 1.46427858e-03  9.11128231e-01  1.03788824e+00  9.11718221e-01 
 1.47427858e-03  9.08045492e-01  1.03788792e+00  9.08806360e-01 
 1.48427858e-03  9.04931001e-01  1.03788761e+00  9.06021234e-01 
 1.49427858e-03  9.01797049e-01  1.03788734e+00  9.03567617e-01 
 1.50427858e-03  8.98656006e-01  1.03788713e+00  9.01839969e-01 
 1.51427858e-03  8.95520266e-01  1.03788700e+00  9.00903209e-01 
 1.52427858e-03  8.92402206e-01  1.03788691e+00  9.00432404e-01 
 1.53167005e-03  8.90116091e-01  1.03788685e+00  9.00150200e-01 
 1.53869942e-03  8.87961669e-01  1.03788672e+00  8.99093089e-01 
 1.54379287e-03  8.86415016e-01  1.03788641e+00  8.96060282e-01 
 1.55035368e-03  8.84443515e-01  1.03788623e+00  8.94471032e-01 
 1.55599406e-03  8.82769606e-01  1.03788637e+00  8.96182106e-01 
 1.56228571e-03  8.80928043e-01  1.03788650e+00  8.97767047e-01 
 1.56905109e-03  8.78981150e-01  1.03788654e+00  8.98550331e-01 
