 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_en)       
 7.48052096e-07  8.97662515e+00  7.48052096e-07  8.92476104e+00  7.48052096e-07  1.89142880e+00  7.48052096e-07  8.78972002e+00 
 7.58052096e-07  9.09662515e+00  7.58052096e-07  9.04511080e+00  7.58052096e-07  1.89734253e+00  7.58052096e-07  8.99038736e+00 
 7.68052096e-07  9.21662515e+00  7.68052096e-07  9.16543943e+00  7.68052096e-07  1.90983433e+00  7.68052096e-07  9.19030345e+00 
 7.78052096e-07  9.33662515e+00  7.78052096e-07  9.28574564e+00  7.78052096e-07  1.92045472e+00  7.78052096e-07  9.33451624e+00 
 7.88052096e-07  9.45662515e+00  7.88052096e-07  9.40604678e+00  7.88052096e-07  1.92521797e+00  7.88052096e-07  9.45419514e+00 
 7.98052096e-07  9.57662515e+00  7.98052096e-07  9.52634134e+00  7.98052096e-07  1.93279423e+00  7.98052096e-07  9.57514123e+00 
 8.06374579e-07  9.67649495e+00  8.06374579e-07  9.62644390e+00  8.06374579e-07  1.93798155e+00  8.06374579e-07  9.67465280e+00 
 8.12922270e-07  9.75506724e+00  8.12922270e-07  9.70519498e+00  8.12922270e-07  1.94264892e+00  8.12922270e-07  9.75382788e+00 
 8.16212772e-07  9.79455326e+00  8.16212772e-07  9.74476868e+00  8.16212772e-07  1.94517524e+00  8.16212772e-07  9.79274203e+00 
 8.20439897e-07  9.84527877e+00  8.20439897e-07  9.79560486e+00  8.20439897e-07  1.94797362e+00  8.20439897e-07  9.84396805e+00 
 8.25908179e-07  9.91089814e+00  8.25908179e-07  9.86136492e+00  8.25908179e-07  1.95208433e+00  8.25908179e-07  9.90915391e+00 
 8.34110805e-07  1.00093297e+01  8.34110805e-07  9.96000113e+00  8.34110805e-07  1.95816905e+00  8.34110805e-07  1.00079856e+01 
 8.44110805e-07  1.01293297e+01  8.44110805e-07  1.00802414e+01  8.44110805e-07  1.96591010e+00  8.44110805e-07  1.01276198e+01 
 8.54110805e-07  1.02493297e+01  8.54110805e-07  1.02004716e+01  8.54110805e-07  1.97394371e+00  8.54110805e-07  1.02479728e+01 
 8.64110805e-07  1.03693297e+01  8.64110805e-07  1.03206924e+01  8.64110805e-07  1.98228482e+00  8.64110805e-07  1.03676482e+01 
 8.74110805e-07  1.04893297e+01  8.74110805e-07  1.04409041e+01  8.74110805e-07  1.99099190e+00  8.74110805e-07  1.04879623e+01 
 8.75000000e-07  1.05000000e+01  8.75000000e-07  1.04515928e+01  8.75000000e-07  1.99178060e+00  8.75000000e-07  1.04983975e+01 
 8.76000000e-07  1.05000000e+01  8.76000000e-07  1.04611565e+01  8.76000000e-07  1.98777558e+00  8.76000000e-07  1.05001495e+01 
 8.78000000e-07  1.05000000e+01  8.78000000e-07  1.04763728e+01  8.78000000e-07  1.98182612e+00  8.78000000e-07  1.05005186e+01 
 8.82000000e-07  1.05000000e+01  8.82000000e-07  1.04913042e+01  8.82000000e-07  1.97455158e+00  8.82000000e-07  1.04998999e+01 
 8.90000000e-07  1.05000000e+01  8.90000000e-07  1.04984864e+01  8.90000000e-07  1.94297273e+00  8.90000000e-07  1.05001398e+01 
 9.00000000e-07  1.05000000e+01  9.00000000e-07  1.04984707e+01  9.00000000e-07  1.87368541e+00  9.00000000e-07  1.04997875e+01 
 9.10000000e-07  1.05000000e+01  9.10000000e-07  1.04985790e+01  9.10000000e-07  1.80338314e+00  9.10000000e-07  1.05001110e+01 
 9.20000000e-07  1.05000000e+01  9.20000000e-07  1.04986529e+01  9.20000000e-07  1.74831904e+00  9.20000000e-07  1.04998279e+01 
 9.30000000e-07  1.05000000e+01  9.30000000e-07  1.04987233e+01  9.30000000e-07  1.70619102e+00  9.30000000e-07  1.05001078e+01 
 9.40000000e-07  1.05000000e+01  9.40000000e-07  1.04987882e+01  9.40000000e-07  1.67193760e+00  9.40000000e-07  1.04998567e+01 
 9.50000000e-07  1.05000000e+01  9.50000000e-07  1.04988492e+01  9.50000000e-07  1.64361456e+00  9.50000000e-07  1.05000978e+01 
 9.60000000e-07  1.05000000e+01  9.60000000e-07  1.04989061e+01  9.60000000e-07  1.61914762e+00  9.60000000e-07  1.04998778e+01 
 9.70000000e-07  1.05000000e+01  9.70000000e-07  1.04989599e+01  9.70000000e-07  1.59785165e+00  9.70000000e-07  1.05000866e+01 
 9.80000000e-07  1.05000000e+01  9.80000000e-07  1.04990104e+01  9.80000000e-07  1.57880468e+00  9.80000000e-07  1.04998948e+01 
 9.90000000e-07  1.05000000e+01  9.90000000e-07  1.04990580e+01  9.90000000e-07  1.56161513e+00  9.90000000e-07  1.05000756e+01 
 1.00000000e-06  1.05000000e+01  1.00000000e-06  1.04991030e+01  1.00000000e-06  1.54592335e+00  1.00000000e-06  1.04999089e+01 
 1.01000000e-06  1.05000000e+01  1.01000000e-06  1.04991453e+01  1.01000000e-06  1.53144403e+00  1.01000000e-06  1.05000656e+01 
 1.02000000e-06  1.05000000e+01  1.02000000e-06  1.04991854e+01  1.02000000e-06  1.51804111e+00  1.02000000e-06  1.04999209e+01 
 1.03000000e-06  1.05000000e+01  1.03000000e-06  1.04992231e+01  1.03000000e-06  1.50552003e+00  1.03000000e-06  1.05000567e+01 
 1.04000000e-06  1.05000000e+01  1.04000000e-06  1.04992588e+01  1.04000000e-06  1.49381050e+00  1.04000000e-06  1.04999312e+01 
 1.05000000e-06  1.05000000e+01  1.05000000e-06  1.04992925e+01  1.05000000e-06  1.48279650e+00  1.05000000e-06  1.05000490e+01 
 1.06000000e-06  1.05000000e+01  1.06000000e-06  1.04993244e+01  1.06000000e-06  1.47242146e+00  1.06000000e-06  1.04999400e+01 
 1.07000000e-06  1.05000000e+01  1.07000000e-06  1.04993545e+01  1.07000000e-06  1.46262129e+00  1.07000000e-06  1.05000422e+01 
 1.08000000e-06  1.05000000e+01  1.08000000e-06  1.04993829e+01  1.08000000e-06  1.45334594e+00  1.08000000e-06  1.04999476e+01 
 1.09000000e-06  1.05000000e+01  1.09000000e-06  1.04994098e+01  1.09000000e-06  1.44455783e+00  1.09000000e-06  1.05000363e+01 
 1.10000000e-06  1.05000000e+01  1.10000000e-06  1.04994353e+01  1.10000000e-06  1.43621614e+00  1.10000000e-06  1.04999542e+01 
 1.11000000e-06  1.05000000e+01  1.11000000e-06  1.04994593e+01  1.11000000e-06  1.42829442e+00  1.11000000e-06  1.05000312e+01 
 1.12000000e-06  1.05000000e+01  1.12000000e-06  1.04994821e+01  1.12000000e-06  1.42076159e+00  1.12000000e-06  1.04999599e+01 
 1.13000000e-06  1.05000000e+01  1.13000000e-06  1.04995036e+01  1.13000000e-06  1.41359600e+00  1.13000000e-06  1.05000268e+01 
 1.14000000e-06  1.05000000e+01  1.14000000e-06  1.04995240e+01  1.14000000e-06  1.40677412e+00  1.14000000e-06  1.04999649e+01 
 1.15000000e-06  1.05000000e+01  1.15000000e-06  1.04995433e+01  1.15000000e-06  1.40027736e+00  1.15000000e-06  1.05000229e+01 
 1.16000000e-06  1.05000000e+01  1.16000000e-06  1.04995615e+01  1.16000000e-06  1.39408713e+00  1.16000000e-06  1.04999692e+01 
 1.17000000e-06  1.05000000e+01  1.17000000e-06  1.04995788e+01  1.17000000e-06  1.38818752e+00  1.17000000e-06  1.05000196e+01 
 1.18000000e-06  1.05000000e+01  1.18000000e-06  1.04995951e+01  1.18000000e-06  1.38256302e+00  1.18000000e-06  1.04999730e+01 
 1.19000000e-06  1.05000000e+01  1.19000000e-06  1.04996106e+01  1.19000000e-06  1.37720005e+00  1.19000000e-06  1.05000168e+01 
 1.20000000e-06  1.05000000e+01  1.20000000e-06  1.04996253e+01  1.20000000e-06  1.37208520e+00  1.20000000e-06  1.04999763e+01 
 1.21000000e-06  1.05000000e+01  1.21000000e-06  1.04996392e+01  1.21000000e-06  1.36720679e+00  1.21000000e-06  1.05000143e+01 
