 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 8.76105640e-07  1.05000000e+01  8.76105640e-07  1.82911296e+00  8.76105640e-07  8.95567460e+00  8.76105640e-07  1.35278273e+00  8.76105640e-07  9.61042496e-04  8.76105640e-07  4.22629073e-03 
 8.76367461e-07  1.05000000e+01  8.76367461e-07  1.83249440e+00  8.76367461e-07  8.95595154e+00  8.76367461e-07  1.35412198e+00  8.76367461e-07  8.41412768e-04  8.76367461e-07  4.22764625e-03 
 8.76725561e-07  1.05000000e+01  8.76725561e-07  1.83710024e+00  8.76725561e-07  8.95632177e+00  8.76725561e-07  1.35625753e+00  8.76725561e-07  8.76331262e-04  8.76725561e-07  4.22951709e-03 
 8.77441760e-07  1.05000000e+01  8.77441760e-07  1.84624700e+00  8.77441760e-07  8.95705411e+00  8.77441760e-07  1.36077278e+00  8.77441760e-07  7.42429787e-04  8.77441760e-07  4.23325626e-03 
 8.78874159e-07  1.05000000e+01  8.78874159e-07  1.86428763e+00  8.78874159e-07  8.95848009e+00  8.78874159e-07  1.36968166e+00  8.78874159e-07  6.76075618e-04  8.78874159e-07  4.24064200e-03 
 8.81738958e-07  1.05000000e+01  8.81738958e-07  1.89940892e+00  8.81738958e-07  8.96117096e+00  8.81738958e-07  1.38649775e+00  8.81738958e-07  4.32449810e-04  8.81738958e-07  4.25501762e-03 
 8.87468555e-07  1.05000000e+01  8.87468555e-07  1.96618658e+00  8.87468555e-07  8.96578059e+00  8.87468555e-07  1.41640757e+00  8.87468555e-07  2.68651972e-04  8.87468555e-07  4.28231570e-03 
 8.98927748e-07  1.05000000e+01  8.98927748e-07  2.08843910e+00  8.98927748e-07  8.97078132e+00  8.98927748e-07  1.45939231e+00  8.98927748e-07  6.29184154e-05  8.98927748e-07  4.33175406e-03 
 9.17322396e-07  1.05000000e+01  9.17322396e-07  2.26299748e+00  9.17322396e-07  8.96074531e+00  9.17322396e-07  1.47583901e+00  9.17322396e-07  7.24658688e-05  9.17322396e-07  4.40004203e-03 
 9.34595589e-07  1.05000000e+01  9.34595589e-07  2.41294231e+00  9.34595589e-07  8.92755936e+00  9.34595589e-07  1.46996567e+00  9.34595589e-07  1.41970214e-05  9.34595589e-07  4.45843208e-03 
 9.59043178e-07  1.05000000e+01  9.59043178e-07  2.61603377e+00  9.59043178e-07  8.86316884e+00  9.59043178e-07  1.54815377e+00  9.59043178e-07  6.38321974e-05  9.59043178e-07  4.54224091e-03 
 9.84901278e-07  1.05000000e+01  9.84901278e-07  2.82214110e+00  9.84901278e-07  8.80680422e+00  9.84901278e-07  1.70077444e+00  9.84901278e-07  1.05556653e-05  9.84901278e-07  4.63121104e-03 
 1.01583625e-06  1.05000000e+01  1.01583625e-06  3.05297091e+00  1.01583625e-06  8.76816358e+00  1.01583625e-06  1.88190807e+00  1.01583625e-06  6.01089808e-05  1.01583625e-06  4.73247423e-03 
 1.06923145e-06  1.05000000e+01  1.06923145e-06  3.40529171e+00  1.06923145e-06  8.75097154e+00  1.06923145e-06  2.18776431e+00  1.06923145e-06  2.13797525e-06  1.06923145e-06  4.89272646e-03 
 1.12174488e-06  1.05000000e+01  1.12174488e-06  3.70028280e+00  1.12174488e-06  8.76334280e+00  1.12174488e-06  2.43629341e+00  1.12174488e-06  4.21980520e-05  1.12174488e-06  5.02889790e-03 
 1.17870633e-06  1.05000000e+01  1.17870633e-06  3.98066331e+00  1.17870633e-06  8.76553928e+00  1.17870633e-06  2.63483153e+00  1.17870633e-06 -3.92979574e-05  1.17870633e-06  5.15421780e-03 
 1.22129196e-06  1.05000000e+01  1.22129196e-06  4.17677949e+00  1.22129196e-06  8.74756855e+00  1.22129196e-06  2.75887524e+00  1.22129196e-06  1.51902196e-04  1.22129196e-06  5.23956865e-03 
 1.26326531e-06  1.05000000e+01  1.26326531e-06  4.38792958e+00  1.26326531e-06  8.60615453e+00  1.26326531e-06  2.50355779e+00  1.26326531e-06  1.00956793e+00  1.26326531e-06  5.28866468e-03 
 1.28626278e-06  1.05000000e+01  1.28626278e-06  4.52773953e+00  1.28626278e-06  8.45462638e+00  1.28626278e-06  2.61201241e+00  1.28626278e-06  1.03610931e+01  1.28626278e-06  5.39015228e-03 
 1.30066538e-06  1.05000000e+01  1.30066538e-06  4.62578885e+00  1.30066538e-06  8.40558003e+00  1.30066538e-06  2.64596930e+00  1.30066538e-06  1.05022467e+01  1.30066538e-06  5.48464771e-03 
 1.31326778e-06  1.05000000e+01  1.31326778e-06  4.71500995e+00  1.31326778e-06  8.37052460e+00  1.31326778e-06  2.72146083e+00  1.31326778e-06  1.04896941e+01  1.31326778e-06  5.57604818e-03 
 1.32641218e-06  1.05000000e+01  1.32641218e-06  4.81057158e+00  1.32641218e-06  8.34291416e+00  1.32641218e-06  2.79752246e+00  1.32641218e-06  1.05090008e+01  1.32641218e-06  5.67117971e-03 
 1.33904539e-06  1.05000000e+01  1.33904539e-06  4.90384997e+00  1.33904539e-06  8.32669584e+00  1.33904539e-06  2.87773441e+00  1.33904539e-06  1.04905003e+01  1.33904539e-06  5.76467117e-03 
 1.35548866e-06  1.05000000e+01  1.35548866e-06  5.02546412e+00  1.35548866e-06  8.32165218e+00  1.35548866e-06  2.98140960e+00  1.35548866e-06  1.05094186e+01  1.35548866e-06  5.88615659e-03 
 1.36931355e-06  1.05000000e+01  1.36931355e-06  5.12655575e+00  1.36931355e-06  8.32819109e+00  1.36931355e-06  3.06248531e+00  1.36931355e-06  1.04906358e+01  1.36931355e-06  5.98759745e-03 
 1.38267556e-06  1.05000000e+01  1.38267556e-06  5.22233300e+00  1.38267556e-06  8.34058639e+00  1.38267556e-06  3.13887745e+00  1.38267556e-06  1.05092759e+01  1.38267556e-06  6.08471526e-03 
 1.38684039e-06  1.05000000e+01  1.38684039e-06  5.25170524e+00  1.38684039e-06  8.34615089e+00  1.38684039e-06  3.15882730e+00  1.38684039e-06  1.04909361e+01  1.38684039e-06  6.11441177e-03 
 1.39331793e-06  1.05000000e+01  1.39331793e-06  5.29685451e+00  1.39331793e-06  8.35479530e+00  1.39331793e-06  3.19688246e+00  1.39331793e-06  1.05089057e+01  1.39331793e-06  6.16124676e-03 
 1.40080832e-06  1.05000000e+01  1.40080832e-06  5.34819616e+00  1.40080832e-06  8.36689759e+00  1.40080832e-06  3.23174482e+00  1.40080832e-06  1.04912011e+01  1.40080832e-06  6.21400446e-03 
 1.40801669e-06  1.05000000e+01  1.40801669e-06  5.39666575e+00  1.40801669e-06  8.37902118e+00  1.40801669e-06  3.27134708e+00  1.40801669e-06  1.05086600e+01  1.40801669e-06  6.26522319e-03 
 1.42058789e-06  1.05000000e+01  1.42058789e-06  5.47883297e+00  1.42058789e-06  8.40326780e+00  1.42058789e-06  3.32675445e+00  1.42058789e-06  1.04913962e+01  1.42058789e-06  6.35204678e-03 
 1.43546989e-06  1.05000000e+01  1.43546989e-06  5.57202457e+00  1.43546989e-06  8.43388253e+00  1.43546989e-06  3.39472381e+00  1.43546989e-06  1.05085307e+01  1.43546989e-06  6.45377311e-03 
 1.45782590e-06  1.05000000e+01  1.45782590e-06  5.70342123e+00  1.45782590e-06  8.48334548e+00  1.45782590e-06  3.47587851e+00  1.45782590e-06  1.04914944e+01  1.45782590e-06  6.60096920e-03 
 1.49513334e-06  1.05000000e+01  1.49513334e-06  5.90010499e+00  1.49513334e-06  8.56564278e+00  1.49513334e-06  3.59935776e+00  1.49513334e-06  1.05084685e+01  1.49513334e-06  6.83737306e-03 
 1.54877065e-06  1.05000000e+01  1.54877065e-06  6.13697157e+00  1.54877065e-06  8.68048344e+00  1.54877065e-06  3.74771469e+00  1.54877065e-06  1.04915339e+01  1.54877065e-06  7.15779259e-03 
 1.62644763e-06  1.05000000e+01  1.62644763e-06  6.39627025e+00  1.62644763e-06  8.83610818e+00  1.62644763e-06  3.93726040e+00  1.62644763e-06  1.05084412e+01  1.62644763e-06  7.59014187e-03 
 1.72644763e-06  1.05000000e+01  1.72644763e-06  6.61253911e+00  1.72644763e-06  9.01197791e+00  1.72644763e-06  4.10323552e+00  1.72644763e-06  1.04915537e+01  1.72644763e-06  8.09637144e-03 
 1.82644763e-06  1.05000000e+01  1.82644763e-06  6.73315018e+00  1.82644763e-06  9.14576118e+00  1.82644763e-06  4.20708705e+00  1.82644763e-06  1.05084240e+01  1.82644763e-06  8.56167652e-03 
 1.92644763e-06  1.05000000e+01  1.92644763e-06  6.79470161e+00  1.92644763e-06  9.23617040e+00  1.92644763e-06  4.25950877e+00  1.92644763e-06  1.04915709e+01  1.92644763e-06  8.99969029e-03 
 2.02644763e-06  1.05000000e+01  2.02644763e-06  6.82338537e+00  2.02644763e-06  9.29052701e+00  2.02644763e-06  4.29298264e+00  2.02644763e-06  1.05084068e+01  2.02644763e-06  9.42390804e-03 
 2.12644763e-06  1.05000000e+01  2.12644763e-06  6.83492354e+00  2.12644763e-06  9.32211804e+00  2.12644763e-06  4.30676296e+00  2.12644763e-06  1.04915882e+01  2.12644763e-06  9.83941709e-03 
 2.22644763e-06  1.05000000e+01  2.22644763e-06  6.83766013e+00  2.22644763e-06  9.33943771e+00  2.22644763e-06  4.32003567e+00  2.22644763e-06  1.05083896e+01  2.22644763e-06  1.02518925e-02 
 2.32644763e-06  1.05000000e+01  2.32644763e-06  6.83575133e+00  2.32644763e-06  9.35024947e+00  2.32644763e-06  4.32342641e+00  2.32644763e-06  1.04916054e+01  2.32644763e-06  1.06612869e-02 
 2.42644763e-06  1.05000000e+01  2.42644763e-06  6.83120995e+00  2.42644763e-06  9.35664564e+00  2.42644763e-06  4.33094255e+00  2.42644763e-06  1.05083725e+01  2.42644763e-06  1.10704150e-02 
 2.52644763e-06  1.05000000e+01  2.52644763e-06  6.82505387e+00  2.52644763e-06  9.36169541e+00  2.52644763e-06  4.33092402e+00  2.52644763e-06  1.04916225e+01  2.52644763e-06  1.14778278e-02 
 2.62644763e-06  1.05000000e+01  2.62644763e-06  6.81784692e+00  2.62644763e-06  9.36477507e+00  2.62644763e-06  4.33607585e+00  2.62644763e-06  1.05083554e+01  2.62644763e-06  1.18856712e-02 
 2.72644763e-06  1.05000000e+01  2.72644763e-06  6.80995673e+00  2.72644763e-06  9.36761173e+00  2.72644763e-06  4.33441889e+00  2.72644763e-06  1.04916396e+01  2.72644763e-06  1.22922183e-02 
 2.82644763e-06  1.05000000e+01  2.82644763e-06  6.80164888e+00  2.82644763e-06  9.36902899e+00  2.82644763e-06  4.33829406e+00  2.82644763e-06  1.05083383e+01  2.82644763e-06  1.26994686e-02 
 2.92644763e-06  1.05000000e+01  2.92644763e-06  6.79313023e+00  2.92644763e-06  9.37054044e+00  2.92644763e-06  4.33576353e+00  2.92644763e-06  1.04916567e+01  2.92644763e-06  1.31056375e-02 
