 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            ibvdd           time            p_pass         
 2.20971784e-06  2.20971784e+00  2.20971784e-06  7.51616949e-05  2.20971784e-06  2.20932194e+00  2.20971784e-06  1.98552243e-02  2.20971784e-06  3.84706836e-06  2.20971784e-06  8.50064643e-06 
 2.30971784e-06  2.30971784e+00  2.30971784e-06  8.43721402e-05  2.30971784e-06  2.30925191e+00  2.30971784e-06  2.72452563e-02  2.30971784e-06  3.01329870e-06  2.30971784e-06  6.95961551e-06 
 2.40971784e-06  2.40971784e+00  2.40971784e-06  9.75064275e-05  2.40971784e-06  2.40921270e+00  2.40971784e-06  3.61361383e-02  2.40971784e-06  4.65948707e-06  2.40971784e-06  1.12275948e-05 
 2.50971784e-06  2.50971784e+00  2.50971784e-06  1.14873768e-04  2.50971784e-06  2.50914543e+00  2.50971784e-06  4.66169556e-02  2.50971784e-06  3.91497813e-06  2.50971784e-06  9.82504073e-06 
 2.60971784e-06  2.60971784e+00  2.60971784e-06  1.36741619e-04  2.60971784e-06  2.60910344e+00  2.60971784e-06  5.87505609e-02  2.60971784e-06  5.58920048e-06  2.60971784e-06  1.45854719e-05 
 2.70971784e-06  2.70971784e+00  2.70971784e-06  1.63335675e-04  2.70971784e-06  2.70904010e+00  2.70971784e-06  7.25977729e-02  2.70971784e-06  4.91354285e-06  2.70971784e-06  1.33135122e-05 
 2.80971784e-06  2.80971784e+00  2.80971784e-06  1.94840990e-04  2.80971784e-06  2.80899793e+00  2.80971784e-06  8.81950924e-02  2.80971784e-06  6.60272119e-06  2.80971784e-06  1.85504970e-05 
 2.90971784e-06  2.90971784e+00  2.90971784e-06  2.31404124e-04  2.90971784e-06  2.90893925e+00  2.90971784e-06  1.05577715e-01  2.90971784e-06  5.97721097e-06  2.90971784e-06  1.73906142e-05 
 3.00971784e-06  3.00971784e+00  3.00971784e-06  2.73134236e-04  3.00971784e-06  3.00889857e+00  3.00971784e-06  1.24758739e-01  3.00971784e-06  7.66874727e-06  3.00971784e-06  2.30786709e-05 
 3.10971784e-06  3.10971784e+00  3.10971784e-06  3.20106673e-04  3.10971784e-06  3.10884496e+00  3.10971784e-06  1.45751022e-01  3.10971784e-06  7.07693223e-06  3.10971784e-06  2.20049970e-05 
 3.20971784e-06  3.20971784e+00  3.20971784e-06  3.72363779e-04  3.20971784e-06  3.20880679e+00  3.20971784e-06  1.68547460e-01  3.20971784e-06  8.75957702e-06  3.20971784e-06  2.81125089e-05 
 3.30971784e-06  3.30971784e+00  3.30971784e-06  4.29919505e-04  3.30971784e-06  3.30875840e+00  3.30971784e-06  1.93141814e-01  3.30971784e-06  8.18753753e-06  3.30971784e-06  2.70949190e-05 
 3.40971784e-06  3.40971784e+00  3.40971784e-06  4.92759785e-04  3.40971784e-06  3.40872329e+00  3.40971784e-06  2.19508864e-01  3.40971784e-06  9.85200428e-06  3.40971784e-06  3.35877001e-05 
 3.50971784e-06  3.50971784e+00  3.50971784e-06  5.60846933e-04  3.50971784e-06  3.50868007e+00  3.50971784e-06  2.47620220e-01  3.50971784e-06  9.28869885e-06  3.50971784e-06  3.25955025e-05 
 3.60971784e-06  3.60971784e+00  3.60971784e-06  6.34118369e-04  3.60971784e-06  3.60864817e+00  3.60971784e-06  2.77391919e-01  3.60971784e-06  1.09285837e-05  3.60971784e-06  3.94421735e-05 
 3.70971784e-06  3.70971784e+00  3.70971784e-06  7.12470572e-04  3.70971784e-06  3.70860974e+00  3.70971784e-06  3.08806096e-01  3.70971784e-06  1.03666800e-05  3.70971784e-06  3.84500716e-05 
 3.80971784e-06  3.80971784e+00  3.80971784e-06  7.95865329e-04  3.80971784e-06  3.80858136e+00  3.80971784e-06  3.41990464e-01  3.80971784e-06  1.19744087e-05  3.80971784e-06  4.56095884e-05 
 3.90971784e-06  3.90971784e+00  3.90971784e-06  8.84229972e-04  3.90971784e-06  3.90854730e+00  3.90971784e-06  3.76478293e-01  3.90971784e-06  1.14087366e-05  3.90971784e-06  4.45948529e-05 
 4.00971784e-06  4.00971784e+00  4.00971784e-06  9.77387082e-04  4.00971784e-06  4.00852180e+00  4.00971784e-06  4.12610197e-01  4.00971784e-06  1.29853925e-05  4.00971784e-06  5.20550684e-05 
 4.10971784e-06  4.10971784e+00  4.10971784e-06  1.07521270e-03  4.10971784e-06  4.10849145e+00  4.10971784e-06  4.49829626e-01  4.10971784e-06  1.24143189e-05  4.10971784e-06  5.10059997e-05 
 4.20971784e-06  4.20971784e+00  4.20971784e-06  1.17758819e-03  4.20971784e-06  4.20846750e+00  4.20971784e-06  4.88086908e-01  4.20971784e-06  1.39688382e-05  4.20971784e-06  5.87884176e-05 
 4.30971784e-06  4.30971784e+00  4.30971784e-06  1.28446492e-03  4.30971784e-06  4.30843772e+00  4.30971784e-06  5.26268972e-01  4.30971784e-06  1.34166522e-05  4.30971784e-06  5.78047523e-05 
 4.40971784e-06  4.40971784e+00  4.40971784e-06  1.39600357e-03  4.40971784e-06  4.40840839e+00  4.40971784e-06  5.62631620e-01  4.40971784e-06  1.50150954e-05  4.40971784e-06  6.61913730e-05 
 4.50971784e-06  4.50971784e+00  4.50971784e-06  1.51283624e-03  4.50971784e-06  4.50836544e+00  4.50971784e-06  5.93955603e-01  4.50971784e-06  1.46165571e-05  4.50971784e-06  6.58944356e-05 
 4.60971784e-06  4.60971784e+00  4.60971784e-06  1.63619150e-03  4.60971784e-06  4.60831235e+00  4.60971784e-06  6.17940414e-01  4.60971784e-06  1.64510629e-05  4.60971784e-06  7.58078409e-05 
 4.70971784e-06  4.70971784e+00  4.70971784e-06  1.76761635e-03  4.70971784e-06  4.70824250e+00  4.70971784e-06  6.34821084e-01  4.70971784e-06  1.63598537e-05  4.70971784e-06  7.70213770e-05 
 4.80971784e-06  4.80971784e+00  4.80971784e-06  1.90858393e-03  4.80971784e-06  4.80816506e+00  4.80971784e-06  6.46492653e-01  4.80971784e-06  1.84595063e-05  4.80971784e-06  8.87497854e-05 
 4.90971784e-06  4.90971784e+00  4.90971784e-06  2.06045905e-03  4.90971784e-06  4.90807772e+00  4.90971784e-06  6.54781151e-01  4.90971784e-06  1.85988741e-05  4.90971784e-06  9.12769016e-05 
 5.00971784e-06  5.00971784e+00  5.00971784e-06  2.22458930e-03  5.00971784e-06  5.00798735e+00  5.00971784e-06  6.60946811e-01  5.00971784e-06  2.08611397e-05  5.00971784e-06  1.04462016e-04 
 5.10971784e-06  5.10971784e+00  5.10971784e-06  2.40171095e-03  5.10971784e-06  5.10789129e+00  5.10971784e-06  6.65804757e-01  5.10971784e-06  2.11474059e-05  5.10971784e-06  1.08006487e-04 
 5.20971784e-06  5.20971784e+00  5.20971784e-06  2.59210286e-03  5.20971784e-06  5.20779389e+00  5.20971784e-06  6.69820285e-01  5.20971784e-06  2.35154850e-05  5.20971784e-06  1.22448087e-04 
 5.30971784e-06  5.30971784e+00  5.30971784e-06  2.79609627e-03  5.30971784e-06  5.30769282e+00  5.30971784e-06  6.73313337e-01  5.30971784e-06  2.39106557e-05  5.30971784e-06  1.26891978e-04 
 5.40971784e-06  5.40971784e+00  5.40971784e-06  3.01408269e-03  5.40971784e-06  5.40759081e+00  5.40971784e-06  6.76442312e-01  5.40971784e-06  2.63600037e-05  5.40971784e-06  1.42520731e-04 
 5.50971784e-06  5.50971784e+00  5.50971784e-06  3.24644374e-03  5.50971784e-06  5.50748623e+00  5.50971784e-06  6.79336606e-01  5.50971784e-06  2.68470222e-05  5.50971784e-06  1.47832360e-04 
 5.60971784e-06  5.60971784e+00  5.60971784e-06  3.49354602e-03  5.60971784e-06  5.60738066e+00  5.60971784e-06  6.82052904e-01  5.60971784e-06  2.93662115e-05  5.60971784e-06  1.64633568e-04 
 5.70971784e-06  5.70971784e+00  5.70971784e-06  3.75574510e-03  5.70971784e-06  5.70727326e+00  5.70971784e-06  6.84645314e-01  5.70971784e-06  2.99360900e-05  5.70971784e-06  1.70814195e-04 
 5.80971784e-06  5.80971784e+00  5.80971784e-06  4.03338306e-03  5.80971784e-06  5.80716463e+00  5.80971784e-06  6.87131171e-01  5.80971784e-06  3.25189324e-05  5.80971784e-06  1.88794660e-04 
 5.90971784e-06  5.90971784e+00  5.90971784e-06  4.32679186e-03  5.90971784e-06  5.90705476e+00  5.90971784e-06  6.89538427e-01  5.90971784e-06  3.31661349e-05  5.90971784e-06  1.95858996e-04 
 6.00971784e-06  6.00971784e+00  6.00971784e-06  4.63629127e-03  6.00971784e-06  6.00694338e+00  6.00971784e-06  6.91870786e-01  6.00971784e-06  3.58084810e-05  6.00971784e-06  2.15032849e-04 
 6.10971784e-06  6.10971784e+00  6.10971784e-06  4.96219220e-03  6.10971784e-06  6.10683126e+00  6.10971784e-06  6.94145755e-01  6.10971784e-06  3.65287984e-05  6.10971784e-06  2.22999388e-04 
 6.20971784e-06  6.20971784e+00  6.20971784e-06  5.30479401e-03  6.20971784e-06  6.20671735e+00  6.20971784e-06  6.96362513e-01  6.20971784e-06  3.92272944e-05  6.20971784e-06  2.43382337e-04 
