 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_out)       time            v(startup_done) time            v(ea_en)       
 2.95379717e-06  2.95379717e-01  2.95379717e-06 -9.74234119e-05  2.95379717e-06  2.92997216e-01  2.95379717e-06 -1.51022892e-04  2.95379717e-06  2.07121617e-01  2.95379717e-06  2.92677732e-03 
 3.05379717e-06  3.05379717e-01  3.05379717e-06 -1.06990463e-04  3.05379717e-06  3.02998414e-01  3.05379717e-06 -1.59345532e-04  3.05379717e-06  2.13743594e-01  3.05379717e-06  2.92671082e-03 
 3.15379717e-06  3.15379717e-01  3.15379717e-06 -1.16556859e-04  3.15379717e-06  3.12999599e-01  3.15379717e-06 -1.67857264e-04  3.15379717e-06  2.20312537e-01  3.15379717e-06  2.92664553e-03 
 3.25379717e-06  3.25379717e-01  3.25379717e-06 -1.26123831e-04  3.25379717e-06  3.23000771e-01  3.25379717e-06 -1.76135142e-04  3.25379717e-06  2.26823004e-01  3.25379717e-06  2.92658162e-03 
 3.35379717e-06  3.35379717e-01  3.35379717e-06 -1.35690136e-04  3.35379717e-06  3.33001932e-01  3.35379717e-06 -1.84595928e-04  3.35379717e-06  2.33268858e-01  3.35379717e-06  2.92651916e-03 
 3.45379717e-06  3.45379717e-01  3.45379717e-06 -1.45257000e-04  3.45379717e-06  3.43003079e-01  3.45379717e-06 -1.92823359e-04  3.45379717e-06  2.39643193e-01  3.45379717e-06  2.92645822e-03 
 3.55379717e-06  3.55379717e-01  3.55379717e-06 -1.54823184e-04  3.55379717e-06  3.53004214e-01  3.55379717e-06 -2.01227066e-04  3.55379717e-06  2.45938256e-01  3.55379717e-06  2.92639882e-03 
 3.65379717e-06  3.65379717e-01  3.65379717e-06 -1.64389913e-04  3.65379717e-06  3.63005333e-01  3.65379717e-06 -2.09397879e-04  3.65379717e-06  2.52145370e-01  3.65379717e-06  2.92634099e-03 
 3.75379717e-06  3.75379717e-01  3.75379717e-06 -1.73955949e-04  3.75379717e-06  3.73006437e-01  3.75379717e-06 -2.17737923e-04  3.75379717e-06  2.58254850e-01  3.75379717e-06  2.92628472e-03 
 3.85379717e-06  3.85379717e-01  3.85379717e-06 -1.83522516e-04  3.85379717e-06  3.83007522e-01  3.85379717e-06 -2.25845445e-04  3.85379717e-06  2.64255916e-01  3.85379717e-06  2.92623004e-03 
