 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_en)       
 1.99653403e-05  1.99653403e+00  1.99653403e-05  1.44283384e+00  1.99653403e-05  9.37092532e-01  1.99653403e-05  1.99730426e+00 
 2.04653403e-05  2.04653403e+00  2.04653403e-05  1.85333648e+00  2.04653403e-05  9.57097257e-01  2.04653403e-05  2.04572143e+00 
 2.07925657e-05  2.07925657e+00  2.07925657e-05  2.05077740e+00  2.07925657e-05  9.57820947e-01  2.07925657e-05  2.07892435e+00 
 2.11697525e-05  2.11697525e+00  2.11697525e-05  2.11586369e+00  2.11697525e-05  9.65335373e-01  2.11697525e-05  2.11521103e+00 
 2.14233102e-05  2.14233102e+00  2.14233102e-05  2.13416890e+00  2.14233102e-05  9.77342490e-01  2.14233102e-05  2.14118539e+00 
 2.17055119e-05  2.17055119e+00  2.17055119e-05  2.16552631e+00  2.17055119e-05  9.93220692e-01  2.17055119e-05  2.16805554e+00 
 2.20425481e-05  2.20425481e+00  2.20425481e-05  2.19847414e+00  2.20425481e-05  1.01182680e+00  2.20425481e-05  2.20179370e+00 
 2.25059778e-05  2.25059778e+00  2.25059778e-05  2.24591023e+00  2.25059778e-05  1.03785095e+00  2.25059778e-05  2.24573644e+00 
 2.30059778e-05  2.30059778e+00  2.30059778e-05  2.29593878e+00  2.30059778e-05  1.06647662e+00  2.30059778e-05  2.29370203e+00 
 2.35059778e-05  2.35059778e+00  2.35059778e-05  2.34652020e+00  2.35059778e-05  1.09519016e+00  2.35059778e-05  2.33877212e+00 
 2.40059778e-05  2.40059778e+00  2.40059778e-05  2.39663639e+00  2.40059778e-05  1.12439759e+00  2.40059778e-05  2.38340752e+00 
 2.45059778e-05  2.45059778e+00  2.45059778e-05  2.44699509e+00  2.45059778e-05  1.15354997e+00  2.45059778e-05  2.42465699e+00 
 2.50059778e-05  2.50059778e+00  2.50059778e-05  2.49712085e+00  2.50059778e-05  1.18315339e+00  2.50059778e-05  2.46505939e+00 
 2.55059778e-05  2.55059778e+00  2.55059778e-05  2.54736343e+00  2.55059778e-05  1.21280286e+00  2.55059778e-05  2.50215820e+00 
 2.60059778e-05  2.60059778e+00  2.60059778e-05  2.59747677e+00  2.60059778e-05  1.24311333e+00  2.60059778e-05  2.53841910e+00 
 2.65059778e-05  2.65059778e+00  2.65059778e-05  2.64765074e+00  2.65059778e-05  1.27346436e+00  2.65059778e-05  2.57122251e+00 
 2.70059778e-05  2.70059778e+00  2.70059778e-05  2.69774973e+00  2.70059778e-05  1.30420063e+00  2.70059778e-05  2.60323066e+00 
 2.75059778e-05  2.75059778e+00  2.75059778e-05  2.74788269e+00  2.75059778e-05  1.33485459e+00  2.75059778e-05  2.63205726e+00 
 2.80059778e-05  2.80059778e+00  2.80059778e-05  2.79796924e+00  2.80059778e-05  1.36583646e+00  2.80059778e-05  2.66029608e+00 
 2.85059778e-05  2.85059778e+00  2.85059778e-05  2.84807497e+00  2.85059778e-05  1.39672183e+00  2.85059778e-05  2.68554750e+00 
 2.90059778e-05  2.90059778e+00  2.90059778e-05  2.89815048e+00  2.90059778e-05  1.42790991e+00  2.90059778e-05  2.71044849e+00 
 2.95059778e-05  2.95059778e+00  2.95059778e-05  2.94823704e+00  2.95059778e-05  1.45899764e+00  2.95059778e-05  2.73264127e+00 
 3.00059778e-05  3.00059778e+00  3.00059778e-05  2.99830311e+00  3.00059778e-05  1.49037157e+00  3.00059778e-05  2.75495311e+00 
 3.05059778e-05  3.05059778e+00  3.05059778e-05  3.04837555e+00  3.05059778e-05  1.52164492e+00  3.05059778e-05  2.77509935e+00 
 3.10059778e-05  3.10059778e+00  3.10059778e-05  3.09843363e+00  3.10059778e-05  1.55319193e+00  3.10059778e-05  2.79627587e+00 
 3.15059778e-05  3.15059778e+00  3.15059778e-05  3.14849530e+00  3.15059778e-05  1.58463962e+00  3.15059778e-05  2.81639021e+00 
 3.20059778e-05  3.20059778e+00  3.20059778e-05  3.19854662e+00  3.20059778e-05  1.61635064e+00  3.20059778e-05  2.83919196e+00 
 3.25059778e-05  3.25059778e+00  3.25059778e-05  3.24859986e+00  3.25059778e-05  1.64796424e+00  3.25059778e-05  2.86289534e+00 
 3.30059778e-05  3.30059778e+00  3.30059778e-05  3.29864545e+00  3.30059778e-05  1.67983213e+00  3.30059778e-05  2.89180192e+00 
 3.35059778e-05  3.35059778e+00  3.35059778e-05  3.34869193e+00  3.35059778e-05  1.71160461e+00  3.35059778e-05  2.92428217e+00 
 3.40059778e-05  3.40059778e+00  3.40059778e-05  3.39873263e+00  3.40059778e-05  1.74362307e+00  3.40059778e-05  2.96459421e+00 
 3.45059778e-05  3.45059778e+00  3.45059778e-05  3.44877359e+00  3.45059778e-05  1.77554797e+00  3.45059778e-05  3.01069447e+00 
 3.50059778e-05  3.50059778e+00  3.50059778e-05  3.49881010e+00  3.50059778e-05  1.80771083e+00  3.50059778e-05  3.06582362e+00 
 3.55059778e-05  3.55059778e+00  3.55059778e-05  3.54884646e+00  3.55059778e-05  1.83978155e+00  3.55059778e-05  3.12727902e+00 
 3.60059778e-05  3.60059778e+00  3.60059778e-05  3.59887934e+00  3.60059778e-05  1.87208222e+00  3.60059778e-05  3.19702304e+00 
 3.65059778e-05  3.65059778e+00  3.65059778e-05  3.64891183e+00  3.65059778e-05  1.90429155e+00  3.65059778e-05  3.27220754e+00 
 3.70059778e-05  3.70059778e+00  3.70059778e-05  3.69894153e+00  3.70059778e-05  1.93672254e+00  3.70059778e-05  3.35393973e+00 
 3.75059778e-05  3.75059778e+00  3.75059778e-05  3.74897070e+00  3.75059778e-05  1.96906224e+00  3.75059778e-05  3.43966251e+00 
 3.80059778e-05  3.80059778e+00  3.80059778e-05  3.79899761e+00  3.80059778e-05  2.00161493e+00  3.80059778e-05  3.52994408e+00 
 3.85059778e-05  3.85059778e+00  3.85059778e-05  3.84902391e+00  3.85059778e-05  2.03407565e+00  3.85059778e-05  3.62249649e+00 
 3.90059778e-05  3.90059778e+00  3.90059778e-05  3.89904833e+00  3.90059778e-05  2.06674057e+00  3.90059778e-05  3.71735604e+00 
 3.95059778e-05  3.95059778e+00  3.95059778e-05  3.94907209e+00  3.95059778e-05  2.09931334e+00  3.95059778e-05  3.81208324e+00 
 4.00059778e-05  4.00059778e+00  4.00059778e-05  3.99909427e+00  4.00059778e-05  2.13208519e+00  4.00059778e-05  3.90598193e+00 
 4.05059778e-05  4.05059778e+00  4.05059778e-05  4.04911575e+00  4.05059778e-05  2.16478291e+00  4.05059778e-05  3.99572961e+00 
 4.10059778e-05  4.10059778e+00  4.10059778e-05  4.09913571e+00  4.10059778e-05  2.19816736e+00  4.10059778e-05  4.07803272e+00 
 4.15059778e-05  4.15059778e+00  4.15059778e-05  4.14915422e+00  4.15059778e-05  2.23214701e+00  4.15059778e-05  4.14661772e+00 
 4.20059778e-05  4.20059778e+00  4.20059778e-05  4.19917124e+00  4.20059778e-05  2.26534727e+00  4.20059778e-05  4.20047186e+00 
 4.25059778e-05  4.25059778e+00  4.25059778e-05  4.24918896e+00  4.25059778e-05  2.29815805e+00  4.25059778e-05  4.25047193e+00 
