 time            v(bvdd)         v(bypass_en)    v(ea_en)        v(ref_sel)      v(uvov_en)      v(ilim_en)      v(pass_off)    
 6.26460888e-07  6.26460888e-01  1.89032359e-05  2.75240509e-05  2.00427332e-06  1.31967204e-06  1.31967204e-06  1.18347938e-07 
 6.36460888e-07  6.36460888e-01  1.71171348e-05  2.37404912e-05  1.90335397e-06  1.10093319e-06  1.10093319e-06  1.00803834e-07 
 6.46460888e-07  6.46460888e-01  1.55890754e-05  2.06138714e-05  1.81092445e-06  9.24820787e-07  9.24820786e-07  8.64273653e-08 
 6.56460888e-07  6.56460888e-01  1.42747044e-05  1.80217888e-05  1.72592810e-06  7.83154601e-07  7.83154601e-07  7.45967169e-08 
 6.66460888e-07  6.66460888e-01  1.31378550e-05  1.58653066e-05  1.64746422e-06  6.69277127e-07  6.69277127e-07  6.48032646e-08 
 6.76460888e-07  6.76460888e-01  1.21489889e-05  1.40643381e-05  1.57476190e-06  5.77754159e-07  5.77754158e-07  5.66302395e-08 
 6.86460888e-07  6.86460888e-01  1.12839384e-05  1.25539475e-05  1.50715830e-06  5.04134400e-07  5.04134400e-07  4.97352760e-08 
 6.96460888e-07  6.96460888e-01  1.05228884e-05  1.12813877e-05  1.44408084e-06  4.44759728e-07  4.44759728e-07  4.38363078e-08 
 7.06460888e-07  7.06460888e-01  9.84955495e-06  1.02037337e-05  1.38503259e-06  3.96618215e-07  3.96618215e-07  3.87001834e-08 
 7.16460888e-07  7.16460888e-01  9.25051935e-06  9.28599400e-06  1.32958052e-06  3.57232553e-07  3.57232554e-07  3.41337628e-08 
 7.26460888e-07  7.26460888e-01  8.71469081e-06  8.49960751e-06  1.27734607e-06  3.24576092e-07  3.24576092e-07  2.99770426e-08 
 7.36460888e-07  7.36460888e-01  8.23287072e-06  7.82124628e-06  1.22799786e-06  2.97009296e-07  2.97009296e-07  2.60981018e-08 
 7.46460888e-07  7.46460888e-01  7.79740038e-06  7.23186109e-06  1.18124627e-06  2.73229646e-07  2.73229646e-07  2.23896029e-08 
 7.56460888e-07  7.56460888e-01  7.40187636e-06  6.71591580e-06  1.13683945e-06  2.52229217e-07  2.52229218e-07  1.87666929e-08 
 7.66460888e-07  7.66460888e-01  7.04092029e-06  6.26076743e-06  1.09456089e-06  2.33255586e-07  2.33255585e-07  1.51659538e-08 
 7.76460888e-07  7.76460888e-01  6.70999413e-06  5.85615868e-06  1.05422760e-06  2.15773560e-07  2.15773559e-07  1.15452119e-08 
 7.86460888e-07  7.86460888e-01  6.40525199e-06  5.49379685e-06  1.01568925e-06  1.99426865e-07  1.99426865e-07  7.88374777e-09 
 7.96460888e-07  7.96460888e-01  6.12342235e-06  5.16700053e-06  9.78827230e-07  1.84000299e-07  1.84000300e-07  4.18259283e-09 
 8.06460888e-07  8.06460888e-01  5.86169222e-06  4.87040087e-06  9.43479338e-07  1.69383143e-07  1.69383144e-07  3.87872179e-10 
 8.16460888e-07  8.16460888e-01  5.61770915e-06  4.59969276e-06  9.09729077e-07  1.55539205e-07  1.55539203e-07 -3.32116534e-09 
 8.26460888e-07  8.26460888e-01  5.38944510e-06  4.35141586e-06  8.77507101e-07  1.42473137e-07  1.42473135e-07 -6.90132695e-09 
