eval,gain_dB,ugb_Hz,pm_deg,power_uW,cost,W1,L1,W3,L3,W5,L5,W7,L7,W11,L11,Cc_val,Rz_val
75,87.0513,410680.0,68.847,10.046376,-68.38323999999999,4.906475470421414,12.675024288632386,1.9942488639973819,2.0998654987514422,5.519781408638018,0.7811231238062608,5.713161674550653,1.9496183152689275,10.898888708114054,14.491692827392097,3.695073546924454e-12,33029.201780114745
76,86.7865,415632.0,73.082,10.222506000000001,-70.85693999999998,4.882943747389319,10.711276120417363,1.9742115795879478,2.233998711995282,5.905219086114652,0.6558021473828879,5.831800610589957,1.9120086785023478,10.771808433084093,14.920277629827972,3.83785590311649e-12,34592.40901909468
77,86.6705,404667.0,72.309,10.11096,-71.1994,4.815063077556129,11.814509804230227,1.9767545986166297,2.185769920929319,5.836798213007421,0.6531772543221082,5.807687674523354,1.9440932263798154,10.739301431135225,14.827610022394651,3.8002194321484866e-12,33684.488648234226
78,86.7128,404516.0,72.869,10.126728,-71.60172,4.824029112379531,11.52224238373108,1.9555402894692464,2.226400881029827,5.877668731906958,0.653865147093774,5.825127187680803,1.9484471525705205,10.796207379954353,14.918635956305497,3.8427485942959176e-12,34279.395495594275
79,86.3261,401516.0,74.829,10.166634,-73.16265999999999,4.782805933358588,10.945851431280424,1.9361860022051784,2.2896685721690186,6.056612393541428,0.5902361587375307,5.881109944245878,1.947861571221317,10.744866715874501,15.132107520762197,3.916586117981649e-12,34904.49235333403
80,86.5707,411116.0,72.569,10.027691999999998,-72.29208000000003,4.890249161950308,11.486886921986013,2.0632096053034124,2.1899046033936544,5.876926730914418,0.6169596938778714,5.807486253274147,1.9783650178313987,10.702723153431114,14.7805944703154,3.795571538579514e-12,34132.68385395664
81,86.3815,413244.0,73.59,10.064484000000002,-72.94515999999999,5.068553543333181,11.301531765440632,1.9463521637400998,2.19237915678554,5.974528552325527,0.579879522177482,5.839094475367666,1.9708872077175412,10.658093385302573,14.896935125776693,3.833028086264257e-12,34511.48486254168
82,86.2921,409831.0,73.392,9.989748,-73.392,4.884319629276051,11.403570019196511,1.9369996454491303,2.3768940499976816,5.958258342469142,0.5663826326013714,5.823495585217698,1.9900594813643657,10.605060718550753,14.839010863541759,3.798800982736447e-12,34283.82518836703
83,84.9326,410203.0,74.93,9.91377,-74.93,4.876540902289882,10.993945061327075,1.8975874367157521,2.561822389480911,6.1236240922573195,0.4624290992157887,5.854450119525257,2.021982986785164,10.42688115133852,14.906876121442195,3.807269506632843e-12,34634.67569218148
84,85.1923,415406.0,75.45,10.095948,-74.49052,4.827017863570431,10.621990310162762,1.951811380496941,2.322249123300993,6.151227464870255,0.4842838628412309,5.8759205815030615,1.987792713957957,10.783173169409089,14.985065851297337,3.868293313468105e-12,35017.00095948558
85,84.4174,410534.0,76.513,10.16118,-74.9012,4.8593067065027995,10.815731920799493,1.9692056918162906,2.357003850308785,6.037415595474133,0.4478338773160051,5.896197160440698,1.9491428357683955,10.608100819646694,15.096219306382867,3.857878018874199e-12,35669.44077351688
86,85.2604,408224.0,75.684,10.102248000000001,-74.66151999999998,4.911795391441048,10.675095970000179,1.9660654261957262,2.3525461698734027,6.086731636558348,0.48708076131317335,5.82961021117729,1.9655617045555895,10.687017368083525,14.711019073440735,3.9857113630786964e-12,34817.47140497991
87,85.6341,406144.0,74.629,9.938862,-74.629,4.916770757980469,10.696779774009755,1.9703660464083992,2.327518773342499,6.001592727548134,0.5119286495277051,5.819884503842127,1.9744178062580349,10.727262806796157,15.55143648378145,3.857611339066607e-12,34364.66554255422
88,83.9123,412354.0,77.043,10.206,-74.983,4.934910428319608,10.340468741125736,1.9653158338917995,2.427579199645284,6.23691393162782,0.4181766164376859,5.901086952530492,1.9363943215832826,10.648828757343514,15.136147469108206,3.927781375183116e-12,35208.157771550425
89,80.5756,411419.0,79.292,10.343502,-75.85698,4.978384303069731,9.478745809038564,1.9627872501574641,2.5688952937849017,6.521607857485119,0.27112137683300697,5.974583089570389,1.9091388806105867,10.573198583173824,15.323621542498053,4.010524118637597e-12,35947.57648101123
90,82.5538,413383.0,78.004,10.181826000000001,-76.18574,4.929603733726834,9.529062081742659,1.9584646066979836,2.4624378047303157,6.308988256467378,0.3540894070613203,5.973664972937688,1.9831064191774637,10.666780352653465,15.297821949149284,3.9970485799962894e-12,35419.63764253515
91,73.8989,405987.0,81.1028,10.26603,-78.4425,4.958834133194355,8.098545022818449,1.9501160085124631,2.605840583418974,6.59960249984913,0.1790364529510189,6.098805813847145,2.0050669490363715,10.624025982879374,15.595249309708024,4.1263802828941834e-12,36196.9836515973
92,81.8701,402309.0,77.205,9.991764,-77.205,4.930451318763479,10.772426977983216,1.9553989016664803,2.4660449853253157,6.247259509012347,0.3230216258883777,5.909748520676036,2.025792811890435,10.622630603403572,15.193006827333132,3.945665247709915e-12,34959.603353268416
93,80.5803,411588.0,78.395,10.075392,-77.64107999999999,5.017563362131229,9.495512823129186,1.949296599812774,2.560986287123945,6.384090598120398,0.2706205808768689,5.950871597768083,2.00732486159807,10.63569246739716,15.346573902256193,4.007542687938157e-12,36080.04284163455
94,80.9033,406447.0,79.613,10.13346,-78.2784,4.841330273594382,8.924569165352718,1.9325091414802849,2.552479550915735,6.695332802728673,0.2817626797446713,6.025162084927352,1.9847245156372861,10.206954715933989,15.380145673998722,3.993289816188658e-12,36774.91028422494
95,77.5186,402035.0,80.3175,10.179072000000001,-78.52677999999997,4.937976586254621,8.983234083237729,1.8347374028978964,2.6696678525780158,6.603010890714048,0.19791274735927167,6.018420097207683,1.9799174563413935,10.513593141442053,15.572448319464197,4.072725111209631e-12,36513.707512765075
96,0,0,0,20.0,16400.0,4.961840298406777,7.731407663863585,1.7205013016951387,2.909549477170197,6.9660529706138625,-0.011610725900028207,6.12388701917445,1.9806936755963909,10.419028135447522,15.968375244038597,4.211301897524689e-12,37704.219342169294
97,71.9118,389953.0,81.1624,10.160082000000001,221.84842000000003,4.737909378691988,8.782206292749294,1.9329923843208427,2.7467414151515426,6.610156125701028,0.1713317899232928,6.016699478754168,1.9889003078925596,10.53413953559384,15.568693196284158,4.075218067682449e-12,36468.610279217246
98,85.1307,412066.0,75.731,10.087866,-74.85234,4.985892502172883,10.671700397267799,1.9430122188852854,2.3309697213770404,6.133435445669402,0.47774258911393463,5.883495726214292,1.9753904827612958,10.62710492287539,15.06487464340356,3.893575581618804e-12,35000.766216710574
99,0,0,0,20.0,16400.0,5.05750475013563,9.092194787907395,1.9442962486357809,2.6563355246360674,6.540876126506456,0.14222622509264493,5.975081640204026,2.0165140963121133,10.427739239522058,15.32231532173888,3.987824946571248e-12,36091.64843232099
100,85.0654,406705.0,76.37,10.136502000000002,-75.00497999999999,4.851480637552848,10.482437270437167,1.938213563812829,2.381335310285781,6.177678326782685,0.4782336753263092,5.904602868235415,1.965024702494016,10.665584846786391,15.179659471006367,3.934395825129049e-12,35201.28137308077
