 3.80189396e+03 -3.87563598e+02  3.80189396e+03 -9.00000760e+01 
 3.98107171e+03 -3.87963597e+02  3.98107171e+03 -9.00000760e+01 
 4.16869383e+03 -3.88363598e+02  4.16869383e+03 -9.00000760e+01 
 4.36515832e+03 -3.88763598e+02  4.36515832e+03 -9.00000760e+01 
 4.57088190e+03 -3.89163596e+02  4.57088190e+03 -9.00000760e+01 
 4.78630092e+03 -3.89563598e+02  4.78630092e+03 -9.00000760e+01 
 5.01187234e+03 -3.89963598e+02  5.01187234e+03 -9.00000760e+01 
 5.24807460e+03 -3.90363597e+02  5.24807460e+03 -9.00000760e+01 
 5.49540874e+03 -3.90763597e+02  5.49540874e+03 -9.00000760e+01 
 5.75439937e+03 -3.91163597e+02  5.75439937e+03 -9.00000760e+01 
 6.02559586e+03 -3.91563596e+02  6.02559586e+03 -9.00000760e+01 
 6.30957344e+03 -3.91963597e+02  6.30957344e+03 -9.00000760e+01 
 6.60693448e+03 -3.92363597e+02  6.60693448e+03 -9.00000760e+01 
 6.91830971e+03 -3.92763597e+02  6.91830971e+03 -9.00000760e+01 
 7.24435960e+03 -3.93163597e+02  7.24435960e+03 -9.00000760e+01 
 7.58577575e+03 -3.93563597e+02  7.58577575e+03 -9.00000760e+01 
 7.94328235e+03 -3.93963597e+02  7.94328235e+03 -9.00000760e+01 
 8.31763771e+03 -3.94363597e+02  8.31763771e+03 -9.00000760e+01 
 8.70963590e+03 -3.94763598e+02  8.70963590e+03 -9.00000760e+01 
 9.12010839e+03 -3.95163598e+02  9.12010839e+03 -9.00000760e+01 
 9.54992586e+03 -3.95563598e+02  9.54992586e+03 -9.00000760e+01 
 1.00000000e+04 -3.95963598e+02  1.00000000e+04 -9.00000760e+01 
 1.04712855e+04 -3.96363597e+02  1.04712855e+04 -9.00000760e+01 
 1.09647820e+04 -3.96763597e+02  1.09647820e+04 -9.00000760e+01 
 1.14815362e+04 -3.97163597e+02  1.14815362e+04 -9.00000760e+01 
 1.20226443e+04 -3.97563597e+02  1.20226443e+04 -9.00000760e+01 
 1.25892541e+04 -3.97963598e+02  1.25892541e+04 -9.00000760e+01 
 1.31825674e+04 -3.98363598e+02  1.31825674e+04 -9.00000760e+01 
 1.38038426e+04 -3.98763597e+02  1.38038426e+04 -9.00000760e+01 
 1.44543977e+04 -3.99163597e+02  1.44543977e+04 -9.00000760e+01 
 1.51356125e+04 -3.99563598e+02  1.51356125e+04 -9.00000760e+01 
 1.58489319e+04 -3.99963598e+02  1.58489319e+04 -9.00000760e+01 
 1.65958691e+04 -4.00363597e+02  1.65958691e+04 -9.00000760e+01 
 1.73780083e+04 -4.00763597e+02  1.73780083e+04 -9.00000760e+01 
 1.81970086e+04 -4.01163598e+02  1.81970086e+04 -9.00000760e+01 
 1.90546072e+04 -4.01563598e+02  1.90546072e+04 -9.00000760e+01 
 1.99526231e+04 -4.01963598e+02  1.99526231e+04 -9.00000760e+01 
 2.08929613e+04 -4.02363598e+02  2.08929613e+04 -9.00000760e+01 
 2.18776162e+04 -4.02763598e+02  2.18776162e+04 -9.00000760e+01 
 2.29086765e+04 -4.03163598e+02  2.29086765e+04 -9.00000760e+01 
