 1.61044279e-06  4.72260150e-07  1.61044279e-06  7.24103938e-01  1.61044279e-06  7.19658052e-01  1.61044279e-06  9.71869017e-01 
 1.70718161e-06  4.88582964e-07  1.70718161e-06  7.22972085e-01  1.70718161e-06  7.93590406e-01  1.70718161e-06  8.05336671e-01 
 1.76712468e-06  4.99240256e-07  1.76712468e-06  7.27026658e-01  1.76712468e-06  8.36021107e-01  1.76712468e-06  5.24760628e-01 
 1.79867563e-06  5.57737892e-07  1.79867563e-06  9.65888793e-01  1.79867563e-06  8.58256595e-01  1.79867563e-06  3.53129119e-01 
 1.82818145e-06  6.27680787e-07  1.82818145e-06  1.26233287e+00  1.82818145e-06  8.78069185e-01  1.82818145e-06  1.91588875e-01 
 1.84074028e-06  6.34556236e-07  1.84074028e-06  1.27954627e+00  1.84074028e-06  8.84278643e-01  1.84074028e-06  1.10700971e-01 
 1.85382150e-06  6.40476393e-07  1.85382150e-06  1.29068721e+00  1.85382150e-06  8.91517565e-01  1.85382150e-06  4.96060118e-02 
 1.86421479e-06  6.45093837e-07  1.86421479e-06  1.29861566e+00  1.86421479e-06  8.99035865e-01  1.86421479e-06  2.49328952e-02 
 1.87331449e-06  6.49120951e-07  1.87331449e-06  1.30521393e+00  1.87331449e-06  9.06717891e-01  1.87331449e-06  1.61206468e-02 
 1.88306504e-06  6.53435791e-07  1.88306504e-06  1.31211983e+00  1.88306504e-06  9.15539829e-01  1.88306504e-06  1.29937113e-02 
 1.89907442e-06  6.60511877e-07  1.89907442e-06  1.32337474e+00  1.89907442e-06  9.30445672e-01  1.89907442e-06  1.13620874e-02 
 1.91645035e-06  6.68143835e-07  1.91645035e-06  1.33558624e+00  1.91645035e-06  9.46855289e-01  1.91645035e-06  1.03324131e-02 
 1.93810530e-06  6.77546209e-07  1.93810530e-06  1.35081187e+00  1.93810530e-06  9.67547392e-01  1.93810530e-06  9.06652147e-03 
 1.97065725e-06  6.91442688e-07  1.97065725e-06  1.37367996e+00  1.97065725e-06  9.99167868e-01  1.97065725e-06  7.51145718e-03 
 2.00095233e-06  7.04148055e-07  2.00095233e-06  1.39494527e+00  2.00095233e-06  1.02913044e+00  2.00095233e-06  6.46340805e-03 
 2.04158928e-06  7.20864938e-07  2.04158928e-06  1.42348404e+00  2.04158928e-06  1.07004036e+00  2.04158928e-06  5.45530988e-03 
 2.07640205e-06  7.34789133e-07  2.07640205e-06  1.44804718e+00  2.07640205e-06  1.10565535e+00  2.07640205e-06  4.82401440e-03 
 2.11835845e-06  7.50956981e-07  2.11835845e-06  1.47770010e+00  2.11835845e-06  1.14915113e+00  2.11835845e-06  4.24192199e-03 
 2.17169479e-06  7.70751148e-07  2.17169479e-06  1.51524601e+00  2.17169479e-06  1.20521012e+00  2.17169479e-06  3.68949436e-03 
 2.22553447e-06  7.90179225e-07  2.22553447e-06  1.55306159e+00  2.22553447e-06  1.26265460e+00  2.22553447e-06  3.27626914e-03 
 2.29006854e-06  8.12953884e-07  2.29006854e-06  1.59836924e+00  2.29006854e-06  1.33276460e+00  2.29006854e-06  2.90246788e-03 
 2.39598282e-06  8.49384330e-07  2.39598282e-06  1.67269906e+00  2.39598282e-06  1.45156282e+00  2.39598282e-06  2.46345275e-03 
