 3.63078055e+01 -9.79355270e+01  3.63078055e+01 -5.79233033e-09  3.63078055e+01 -1.76744674e+02 
 3.80189396e+01 -9.75355272e+01  3.80189396e+01 -6.34984179e-09  3.80189396e+01 -1.76344712e+02 
 3.98107171e+01 -9.71355274e+01  3.98107171e+01 -6.96093707e-09  3.98107171e+01 -1.75944754e+02 
 4.16869383e+01 -9.67355276e+01  4.16869383e+01 -7.63076182e-09  4.16869383e+01 -1.75544800e+02 
 4.36515832e+01 -9.63355278e+01  4.36515832e+01 -8.36495543e-09  4.36515832e+01 -1.75144851e+02 
 4.57088190e+01 -9.59355280e+01  4.57088190e+01 -9.16969249e-09  4.57088190e+01 -1.74744906e+02 
 4.78630092e+01 -9.55355283e+01  4.78630092e+01 -1.00517561e-08  4.78630092e+01 -1.74344966e+02 
 5.01187234e+01 -9.51355285e+01  5.01187234e+01 -1.10185686e-08  5.01187234e+01 -1.73945033e+02 
 5.24807460e+01 -9.47355288e+01  5.24807460e+01 -1.20782710e-08  5.24807460e+01 -1.73545105e+02 
 5.49540874e+01 -9.43355290e+01  5.49540874e+01 -1.32397909e-08  5.49540874e+01 -1.73145185e+02 
 5.75439937e+01 -9.39355293e+01  5.75439937e+01 -1.45129182e-08  5.75439937e+01 -1.72745272e+02 
 6.02559586e+01 -9.35355295e+01  6.02559586e+01 -1.59083820e-08  6.02559586e+01 -1.72345368e+02 
 6.30957344e+01 -9.31355298e+01  6.30957344e+01 -1.74379481e-08  6.30957344e+01 -1.71945473e+02 
 6.60693448e+01 -9.27355301e+01  6.60693448e+01 -1.91145239e-08  6.60693448e+01 -1.71545588e+02 
 6.91830971e+01 -9.23355304e+01  6.91830971e+01 -2.09522515e-08  6.91830971e+01 -1.71145714e+02 
 7.24435960e+01 -9.19355307e+01  7.24435960e+01 -2.29666563e-08  7.24435960e+01 -1.70745852e+02 
 7.58577575e+01 -9.15355309e+01  7.58577575e+01 -2.51747493e-08  7.58577575e+01 -1.70346004e+02 
 7.94328235e+01 -9.11355312e+01  7.94328235e+01 -2.75951900e-08  7.94328235e+01 -1.69946170e+02 
 8.31763771e+01 -9.07355315e+01  8.31763771e+01 -3.02484464e-08  8.31763771e+01 -1.69546352e+02 
 8.70963590e+01 -9.03355318e+01  8.70963590e+01 -3.31569593e-08  8.70963590e+01 -1.69146552e+02 
 9.12010839e+01 -8.99355321e+01  9.12010839e+01 -3.63453422e-08  9.12010839e+01 -1.68746771e+02 
 9.54992586e+01 -8.95355323e+01  9.54992586e+01 -3.98405838e-08  9.54992586e+01 -1.68347011e+02 
 1.00000000e+02 -8.91355326e+01  1.00000000e+02 -4.36722850e-08  1.00000000e+02 -1.67947274e+02 
 1.04712855e+02 -8.87355329e+01  1.04712855e+02 -4.78729012e-08  1.04712855e+02 -1.67547562e+02 
 1.09647820e+02 -8.83355331e+01  1.09647820e+02 -5.24780307e-08  1.09647820e+02 -1.67147879e+02 
 1.14815362e+02 -8.79355334e+01  1.14815362e+02 -5.75267054e-08  1.14815362e+02 -1.66748225e+02 
 1.20226443e+02 -8.75355336e+01  1.20226443e+02 -6.30617282e-08  1.20226443e+02 -1.66348605e+02 
 1.25892541e+02 -8.71355339e+01  1.25892541e+02 -6.91300298e-08  1.25892541e+02 -1.65949022e+02 
 1.31825674e+02 -8.67355341e+01  1.31825674e+02 -7.57830812e-08  1.31825674e+02 -1.65549479e+02 
 1.38038426e+02 -8.63355343e+01  1.38038426e+02 -8.30773160e-08  1.38038426e+02 -1.65149979e+02 
 1.44543977e+02 -8.59355345e+01  1.44543977e+02 -9.10746130e-08  1.44543977e+02 -1.64750528e+02 
 1.51356125e+02 -8.55355348e+01  1.51356125e+02 -9.98428242e-08  1.51356125e+02 -1.64351130e+02 
 1.58489319e+02 -8.51355350e+01  1.58489319e+02 -1.09456349e-07  1.58489319e+02 -1.63951790e+02 
 1.65958691e+02 -8.47355352e+01  1.65958691e+02 -1.19996763e-07  1.65958691e+02 -1.63552513e+02 
 1.73780083e+02 -8.43355354e+01  1.73780083e+02 -1.31553525e-07  1.73780083e+02 -1.63153306e+02 
 1.81970086e+02 -8.39355356e+01  1.81970086e+02 -1.44224705e-07  1.81970086e+02 -1.62754175e+02 
 1.90546072e+02 -8.35355358e+01  1.90546072e+02 -1.58117849e-07  1.90546072e+02 -1.62355128e+02 
 1.99526231e+02 -8.31355360e+01  1.99526231e+02 -1.73350867e-07  1.99526231e+02 -1.61956173e+02 
 2.08929613e+02 -8.27355362e+01  2.08929613e+02 -1.90053048e-07  2.08929613e+02 -1.61557318e+02 
 2.18776162e+02 -8.23355364e+01  2.18776162e+02 -2.08366158e-07  2.18776162e+02 -1.61158573e+02 
 2.29086765e+02 -8.19355366e+01  2.29086765e+02 -2.28445626e-07  2.29086765e+02 -1.60759949e+02 
 2.39883292e+02 -8.15355369e+01  2.39883292e+02 -2.50461883e-07  2.39883292e+02 -1.60361457e+02 
 2.51188643e+02 -8.11355371e+01  2.51188643e+02 -2.74601796e-07  2.51188643e+02 -1.59963110e+02 
 2.63026799e+02 -8.07355373e+01  2.63026799e+02 -3.01070257e-07  2.63026799e+02 -1.59564921e+02 
 2.75422870e+02 -8.03355376e+01  2.75422870e+02 -3.30091920e-07  2.75422870e+02 -1.59166907e+02 
 2.88403150e+02 -7.99355379e+01  2.88403150e+02 -3.61913106e-07  2.88403150e+02 -1.58769083e+02 
 3.01995172e+02 -7.95355381e+01  3.01995172e+02 -3.96803901e-07  3.01995172e+02 -1.58371467e+02 
 3.16227766e+02 -7.91355384e+01  3.16227766e+02 -4.35060432e-07  3.16227766e+02 -1.57974080e+02 
 3.31131121e+02 -7.87355387e+01  3.31131121e+02 -4.77007395e-07  3.31131121e+02 -1.57576944e+02 
 3.46736850e+02 -7.83355391e+01  3.46736850e+02 -5.23000797e-07  3.46736850e+02 -1.57180082e+02 
 3.63078055e+02 -7.79355394e+01  3.63078055e+02 -5.73430981e-07  3.63078055e+02 -1.56783519e+02 
 3.80189396e+02 -7.75355398e+01  3.80189396e+02 -6.28725936e-07  3.80189396e+02 -1.56387285e+02 
 3.98107171e+02 -7.71355402e+01  3.98107171e+02 -6.89354925e-07  3.98107171e+02 -1.55991411e+02 
 4.16869383e+02 -7.67355407e+01  4.16869383e+02 -7.55832467e-07  4.16869383e+02 -1.55595931e+02 
 4.36515832e+02 -7.63355412e+01  4.36515832e+02 -8.28722700e-07  4.36515832e+02 -1.55200881e+02 
 4.57088190e+02 -7.59355417e+01  4.57088190e+02 -9.08644155e-07  4.57088190e+02 -1.54806302e+02 
 4.78630092e+02 -7.55355423e+01  4.78630092e+02 -9.96275012e-07  4.78630092e+02 -1.54412238e+02 
 5.01187234e+02 -7.51355429e+01  5.01187234e+02 -1.09235884e-06  5.01187234e+02 -1.54018738e+02 
 5.24807460e+02 -7.47355436e+01  5.24807460e+02 -1.19771090e-06  5.24807460e+02 -1.53625853e+02 
 5.49540874e+02 -7.43355444e+01  5.49540874e+02 -1.31322505e-06  5.49540874e+02 -1.53233642e+02 
 5.75439937e+02 -7.39355452e+01  5.75439937e+02 -1.43988133e-06  5.75439937e+02 -1.52842166e+02 
 6.02559586e+02 -7.35355460e+01  6.02559586e+02 -1.57875426e-06  6.02559586e+02 -1.52451494e+02 
 6.30957344e+02 -7.31355470e+01  6.30957344e+02 -1.73102191e-06  6.30957344e+02 -1.52061698e+02 
 6.60693448e+02 -7.27355481e+01  6.60693448e+02 -1.89797595e-06  6.60693448e+02 -1.51672859e+02 
 6.91830971e+02 -7.23355492e+01  6.91830971e+02 -2.08103250e-06  6.91830971e+02 -1.51285065e+02 
 7.24435960e+02 -7.19355505e+01  7.24435960e+02 -2.28174418e-06  7.24435960e+02 -1.50898408e+02 
 7.58577575e+02 -7.15355518e+01  7.58577575e+02 -2.50181322e-06  7.58577575e+02 -1.50512992e+02 
 7.94328235e+02 -7.11355533e+01  7.94328235e+02 -2.74310587e-06  7.94328235e+02 -1.50128927e+02 
 8.31763771e+02 -7.07355550e+01  8.31763771e+02 -3.00766820e-06  8.31763771e+02 -1.49746332e+02 
 8.70963590e+02 -7.03355567e+01  8.70963590e+02 -3.29774339e-06  8.70963590e+02 -1.49365337e+02 
 9.12010839e+02 -6.99355587e+01  9.12010839e+02 -3.61579074e-06  9.12010839e+02 -1.48986080e+02 
 9.54992586e+02 -6.95355608e+01  9.54992586e+02 -3.96450637e-06  9.54992586e+02 -1.48608711e+02 
